initial_condition,time,output,parameter,S1,ST
80_60,2,2,k5,0.0006520791709005339,0.000666669801885966
80_60,2,2,KS,0.7141569278619374,0.8449689592837359
80_60,2,2,KP,-0.0027789055565283324,0.005698073220061374
80_60,2,2,KN,0.0031987090687059,0.020437843124179945
80_60,2,2,k-4,-0.0002472024568604278,0.00095433859625652
80_60,2,3,k2,0.05182042053817592,0.20305145783368414
80_60,2,3,k3,0.003940305207173033,0.08734513647130382
80_60,2,3,k4,0.03893673737410632,0.3015660733018247
80_60,2,3,k5,-0.0005583501426449269,0.0018169651065587334
80_60,2,3,KS,0.5591569699188642,0.8874159061732982
80_60,2,3,KP,0.007347074738588021,0.050321427393953996
80_60,2,3,KN,0.011937875136205487,0.07536868077364063
80_60,2,3,k-4,9.693914053713074e-05,0.006854441186629391
80_60,3,0,k2,0.1113858292830012,0.20851496811259515
80_60,3,0,k3,0.00020036914697488297,0.002434704207118788
80_60,3,0,k4,-0.0008106491829417244,0.002213996263553512
80_60,3,0,k5,-0.00011653529911978467,0.0001511516175464062
80_60,3,0,KS,0.7721595718494603,0.8730584690701342
80_60,3,0,KP,0.0010670056593798873,0.03175628568248355
80_60,3,0,KN,-0.0007934313294537176,0.002276588359352875
80_60,3,0,k-4,0.00031570774883491674,0.005036692335567342
80_60,3,1,k2,0.10271759279190787,0.21256844216175816
80_60,3,1,k3,0.010142750056210202,0.027735408177050155
80_60,3,1,k4,0.02842753209678488,0.0875148379037465
80_60,3,1,k5,0.0007176248109847024,0.0008531078342106023
80_60,3,1,KS,0.6870233489729964,0.8161967513256358
80_60,3,1,KP,-0.0022623892606109387,0.008638851780198102
80_60,3,1,KN,0.004447856120990754,0.02422671829684807
80_60,3,1,k-4,3.952136396373603e-06,0.0015097034407359298
80_60,3,2,k2,0.10271759279190788,0.21256844216175816
80_60,3,2,k3,0.01014275005621022,0.027735408177050152
80_60,3,2,k4,0.02842753209678488,0.08751483790374652
80_60,3,2,k5,0.0007176248109847228,0.0008531078342106017
80_60,3,2,KS,0.6870233489729963,0.816196751325636
80_60,3,2,KP,-0.002262389260610925,0.008638851780198102
80_60,3,2,KN,0.004447856120990787,0.02422671829684808
80_60,3,2,k-4,3.952136396376525e-06,0.0015097034407359272
80_60,3,3,k2,0.059169006446679655,0.18901834836869072
80_60,3,3,k3,0.0062805548941110055,0.10046080393269162
80_60,3,3,k4,0.05628343221172053,0.31961274283038105
80_60,3,3,k5,-0.0011730697279600344,0.002069750958504657
80_60,3,3,KS,0.47680388026138515,0.8229137778329936
80_60,3,3,KP,0.015005785442787935,0.07835927110574935
80_60,3,3,KN,0.01599426755127521,0.08580339274695403
80_60,3,3,k-4,0.0014195279686371703,0.011696354969557728
80_60,4,0,k2,0.12785390037578082,0.22201374025431325
80_60,4,0,k3,0.00041167964911988894,0.004263635476499202
80_60,4,0,k4,-0.0008693460115317256,0.004041585858901034
80_60,4,0,k5,-0.00025647956072364064,0.0002609124395256164
80_60,4,0,KS,0.7436939964265366,0.8472571003146717
80_60,4,0,KP,0.005280150506582839,0.04595198546260178
80_60,4,0,KN,-0.0010181488087164681,0.003934489827106103
80_60,4,0,k-4,0.001392298576520538,0.007775064929289991
80_60,4,1,k2,0.11810101953758037,0.22854570521584855
80_60,4,1,k3,0.011532509022450007,0.030975859987509177
80_60,4,1,k4,0.034713612738355534,0.09422534262100907
80_60,4,1,k5,0.0006721520324161933,0.0010194115101719318
80_60,4,1,KS,0.6613248450933445,0.7898355338136035
80_60,4,1,KP,-0.0013502239453229005,0.011582195258962067
80_60,4,1,KN,0.0060932572143552605,0.027880022273330137
80_60,4,1,k-4,0.00038570604966478377,0.002153902989942076
80_60,4,2,k2,0.1181010195375804,0.22854570521584858
80_60,4,2,k3,0.011532509022450005,0.03097585998750918
80_60,4,2,k4,0.03471361273835551,0.09422534262100908
80_60,4,2,k5,0.0006721520324161978,0.001019411510171931
80_60,4,2,KS,0.6613248450933445,0.7898355338136037
80_60,4,2,KP,-0.001350223945322895,0.011582195258962074
80_60,4,2,KN,0.0060932572143552735,0.027880022273330148
80_60,4,2,k-4,0.0003857060496647745,0.0021539029899420746
80_60,4,3,k2,0.06041440546374683,0.18289499833548625
80_60,4,3,k3,0.008684252252147698,0.11001177584130988
80_60,4,3,k4,0.07242098397293252,0.3351661796345946
80_60,4,3,k5,-0.0018046937451253139,0.0023627909400992355
80_60,4,3,KS,0.4082045667430612,0.7631444911367975
80_60,4,3,KP,0.02425023166177379,0.10920312819368974
80_60,4,3,KN,0.018840991678075,0.09557685371368922
80_60,4,3,k-4,0.0031401112735559454,0.017552075806545914
80_60,5,0,k2,0.14092912535447974,0.2338099955662606
80_60,5,0,k3,0.0005129985268325319,0.006189391462932132
80_60,5,0,k4,-0.0007778995230958726,0.006431381116371484
80_60,5,0,k5,-0.0004624071577759012,0.00037478152571927706
80_60,5,0,KS,0.713223493376374,0.8201081971081726
80_60,5,0,KP,0.010879484279166438,0.06218397454530336
80_60,5,0,KN,-0.0011586430706555463,0.005904613393348768
80_60,5,0,k-4,0.002755021210013882,0.011117766522346889
80_60,5,1,k2,0.13142084916418725,0.2418031881365564
80_60,5,1,k3,0.012522991432036265,0.034202729462062445
80_60,5,1,k4,0.04060277006434238,0.10083091646418764
80_60,5,1,k5,0.0005318986821898773,0.0011720820789648254
80_60,5,1,KS,0.636291244791227,0.7632727271071829
80_60,5,1,KP,-8.497997907537136e-05,0.014513493606720624
80_60,5,1,KN,0.007947646987336257,0.03160675503182164
80_60,5,1,k-4,0.000810452565584993,0.0028749190646860843
80_60,5,2,k2,0.13142084916418723,0.24180318813655638
80_60,5,2,k3,0.012522991432036274,0.03420272946206243
80_60,5,2,k4,0.040602770064342375,0.10083091646418764
80_60,5,2,k5,0.0005318986821898881,0.0011720820789648243
80_60,5,2,KS,0.636291244791227,0.7632727271071827
80_60,5,2,KP,-8.497997907536112e-05,0.014513493606720626
80_60,5,2,KN,0.007947646987336287,0.031606755031821636
80_60,5,2,k-4,0.0008104525655849896,0.0028749190646860812
80_60,5,3,k2,0.058172809709794694,0.17950737546705955
80_60,5,3,k3,0.010534157083968942,0.11630375103153988
80_60,5,3,k4,0.08624556324985756,0.3483707387132512
80_60,5,3,k5,-0.0024181550436302287,0.0026772267031650245
80_60,5,3,KS,0.3486896959601988,0.7088954922959568
80_60,5,3,KP,0.034570161341710474,0.14230206774403853
80_60,5,3,KN,0.020960049715232337,0.10433204477234324
80_60,5,3,k-4,0.005175936562460278,0.0241125278209381
80_60,6,0,k2,0.15130492821737754,0.24391157245365014
80_60,6,0,k3,0.0005973727171438142,0.008245467726995487
80_60,6,0,k4,-0.0005419337499659925,0.009402063393592184
80_60,6,0,k5,-0.0007045943030021957,0.00047661437145226883
80_60,6,0,KS,0.6818654266878387,0.7923563205823898
80_60,6,0,KP,0.017769020641587505,0.08029639079564077
80_60,6,0,KN,-0.0012372584586156643,0.008148251489934935
80_60,6,0,k-4,0.004364257470384186,0.015074633551644437
80_60,6,1,k2,0.1429315372143402,0.2528849911584393
80_60,6,1,k3,0.013733279883297355,0.03746913551074307
80_60,6,1,k4,0.046315249327274675,0.10734219502639984
80_60,6,1,k5,0.00035061979616008896,0.0013104346097333997
80_60,6,1,KS,0.6130871246325608,0.7371147438454291
80_60,6,1,KP,0.0015012501281134712,0.017379637835718182
80_60,6,1,KN,0.00999253846690079,0.035332007213914954
80_60,6,1,k-4,0.0012866966667967321,0.0036606241992322647
80_60,6,2,k2,0.1429315372143402,0.2528849911584394
80_60,6,2,k3,0.013733279883297369,0.037469135510743067
80_60,6,2,k4,0.046315249327274655,0.10734219502639984
80_60,6,2,k5,0.0003506197961600959,0.0013104346097334001
80_60,6,2,KS,0.613087124632561,0.7371147438454291
80_60,6,2,KP,0.00150125012811348,0.017379637835718185
80_60,6,2,KN,0.009992538466900817,0.03533200721391496
80_60,6,2,k-4,0.0012866966667967274,0.003660624199232263
80_60,6,3,k2,0.05401390106606483,0.17683587892207142
80_60,6,3,k3,0.011620272865796526,0.12109935214001295
80_60,6,3,k4,0.09750527222165804,0.35845009874475775
80_60,6,3,k5,-0.002981862553460093,0.0029712507066426263
80_60,6,3,KS,0.2949478735099016,0.66113392287646
80_60,6,3,KP,0.045263134645405864,0.17629257191298606
80_60,6,3,KN,0.02253979447320319,0.11187953000887095
80_60,6,3,k-4,0.007311392890342889,0.03119412401750141
80_60,7,0,k2,0.15950480750242177,0.25243681576545235
80_60,7,0,k3,0.0007565692874679156,0.010555596435629025
80_60,7,0,k4,-0.0002874294543794954,0.012933312331993468
80_60,7,0,k5,-0.000955931554739543,0.0005728921274056071
80_60,7,0,KS,0.6495596946309224,0.7648755353121152
80_60,7,0,KP,0.025790083112402388,0.10013512009428352
80_60,7,0,KN,-0.0012071783043957722,0.010671881223480383
80_60,7,0,k-4,0.006175691730016451,0.01967394082098444
80_60,7,1,k2,0.1534789780124947,0.26254222131872224
80_60,7,1,k3,0.015325207461188777,0.04075124085192908
80_60,7,1,k4,0.051745207392326534,0.11360462242838103
80_60,7,1,k5,0.00017121653666994015,0.0014415655580515556
80_60,7,1,KS,0.5916988895067543,0.7126593404198482
80_60,7,1,KP,0.0033233275060838984,0.0201812239986666
80_60,7,1,KN,0.012286237567420968,0.03898477824406804
80_60,7,1,k-4,0.0018097933838160597,0.0045057492675198325
80_60,7,2,k2,0.1534789780124947,0.2625422213187223
80_60,7,2,k3,0.0153252074611888,0.040751240851929084
80_60,7,2,k4,0.05174520739232653,0.11360462242838103
80_60,7,2,k5,0.00017121653666995345,0.0014415655580515554
80_60,7,2,KS,0.5916988895067545,0.7126593404198484
80_60,7,2,KP,0.003323327506083928,0.020181223998666602
80_60,7,2,KN,0.012286237567420992,0.03898477824406805
80_60,7,2,k-4,0.0018097933838160786,0.004505749267519831
80_60,7,3,k2,0.048768893522081705,0.1739800873869956
80_60,7,3,k3,0.012066568474208905,0.12545393089132303
80_60,7,3,k4,0.10616187705652322,0.3648697932443487
80_60,7,3,k5,-0.003487376871609811,0.00322759228875382
80_60,7,3,KS,0.2462934817870557,0.6203746720998
80_60,7,3,KP,0.05572087937428645,0.20975677549602456
80_60,7,3,KN,0.023618201801622076,0.11813950704512531
80_60,7,3,k-4,0.009416404486872068,0.03867292268750193
80_60,8,0,k2,0.16562613007384216,0.25930790699923323
80_60,8,0,k3,0.0009337180420541791,0.013266309865398682
80_60,8,0,k4,4.213890850794765e-05,0.017027732297724425
80_60,8,0,k5,-0.0012018656162816857,0.0006885803405192265
80_60,8,0,KS,0.6161126603794145,0.7377991230783049
80_60,8,0,KP,0.03470218795144948,0.12142537699160581
80_60,8,0,KN,-0.0011475157353702764,0.013412035175225554
80_60,8,0,k-4,0.008149982316967237,0.024947851742043916
80_60,8,1,k2,0.16300475456990582,0.27090491679626677
80_60,8,1,k3,0.01701680916795359,0.043956574619957285
80_60,8,1,k4,0.057097154081012715,0.11952667501032671
80_60,8,1,k5,-2.1118105654825906e-06,0.0015735911718234659
80_60,8,1,KS,0.5714134604853046,0.689550272886753
80_60,8,1,KP,0.00526659642659693,0.02289884861402051
80_60,8,1,KN,0.014630659015032379,0.042411342572794324
80_60,8,1,k-4,0.002360232020152622,0.005399497481397385
80_60,8,2,k2,0.1630047545699058,0.27090491679626677
80_60,8,2,k3,0.017016809167953596,0.04395657461995728
80_60,8,2,k4,0.0570971540810127,0.11952667501032671
80_60,8,2,k5,-2.111810565475069e-06,0.0015735911718234654
80_60,8,2,KS,0.5714134604853046,0.6895502728867531
80_60,8,2,KP,0.005266596426596945,0.022898848614020507
80_60,8,2,KN,0.0146306590150324,0.04241134257279433
80_60,8,2,k-4,0.00236023202015262,0.0053994974813973825
80_60,8,3,k2,0.043065294893915834,0.17072393413639084
80_60,8,3,k3,0.012063973704543932,0.1299547164009587
80_60,8,3,k4,0.11227914001550644,0.3676266991290587
80_60,8,3,k5,-0.003933537111827452,0.0034613188980982166
80_60,8,3,KS,0.20281174960893425,0.5869299793196383
80_60,8,3,KP,0.06545260506215408,0.2414893175023918
80_60,8,3,KN,0.024218736690911662,0.12294120963450914
80_60,8,3,k-4,0.011404546737845018,0.04648421268534741
80_60,9,0,k2,0.1695180572107938,0.2643400756099602
80_60,9,0,k3,0.0010884584963745522,0.016470300561178854
80_60,9,0,k4,0.00038064227842072034,0.021628777034608165
80_60,9,0,k5,-0.0014259558240024308,0.0008321572802459039
80_60,9,0,KS,0.5815474914642192,0.7111893637144132
80_60,9,0,KP,0.044324123778928824,0.1439751580876082
80_60,9,0,KN,-0.0011189065602576613,0.016369543116507547
80_60,9,0,k-4,0.010253263461545705,0.03091377940832056
80_60,9,1,k2,0.1713330629607531,0.27800215774463577
80_60,9,1,k3,0.018674608510849726,0.04696324922044872
80_60,9,1,k4,0.062263863593100134,0.12510625195678243
80_60,9,1,k5,-0.00015006759859696473,0.0017052435097555958
80_60,9,1,KS,0.5519832113018251,0.6672221366288836
80_60,9,1,KP,0.007290405635304848,0.025528558045661554
80_60,9,1,KN,0.01691325476612343,0.045629632120840244
80_60,9,1,k-4,0.0029306675200795156,0.006331806647847354
80_60,9,2,k2,0.17133306296075307,0.2780021577446357
80_60,9,2,k3,0.018674608510849733,0.04696324922044871
80_60,9,2,k4,0.06226386359310009,0.12510625195678243
80_60,9,2,k5,-0.00015006759859696034,0.001705243509755595
80_60,9,2,KS,0.5519832113018251,0.6672221366288835
80_60,9,2,KP,0.007290405635304858,0.025528558045661554
80_60,9,2,KN,0.016913254766123438,0.04562963212084024
80_60,9,2,k-4,0.0029306675200794943,0.006331806647847351
80_60,9,3,k2,0.037185396288761954,0.1668977861702381
80_60,9,3,k3,0.01171218820213027,0.13462216401884608
80_60,9,3,k4,0.11606047973665856,0.36674441217489506
80_60,9,3,k5,-0.00432756496437657,0.003671690142144883
80_60,9,3,KS,0.1644390004660663,0.5606456217694846
80_60,9,3,KP,0.07413981567452177,0.2707923501337302
80_60,9,3,KN,0.024406333105880054,0.12636127518935467
80_60,9,3,k-4,0.013199598095259689,0.054563398609752504
80_60,10,0,k2,0.17117665349978473,0.26747736316316006
80_60,10,0,k3,0.001214656161051801,0.02022853589260108
80_60,10,0,k4,0.0007120687553294715,0.02664898532086427
80_60,10,0,k5,-0.0016277463142019791,0.0009950603620371985
80_60,10,0,KS,0.5460915228822109,0.6854807359446079
80_60,10,0,KP,0.054400121968698645,0.1676187030254836
80_60,10,0,KN,-0.0011105969402562313,0.0195162056611074
80_60,10,0,k-4,0.012417069778188163,0.037535201149862384
80_60,10,1,k2,0.17857543959442862,0.28394751937795887
80_60,10,1,k3,0.02030339159207678,0.04975635691520026
80_60,10,1,k4,0.06728513821764821,0.13040781836766666
80_60,10,1,k5,-0.00026556876817028925,0.0018293806215719892
80_60,10,1,KS,0.5334551585444172,0.6457566303613854
80_60,10,1,KP,0.009340857887360181,0.028073496443293787
80_60,10,1,KN,0.01915273532612643,0.048703483193621964
80_60,10,1,k-4,0.0035084303397025446,0.0072877800522175625
80_60,10,2,k2,0.17857543959442862,0.28394751937795887
80_60,10,2,k3,0.020303391592076798,0.049756356915200264
80_60,10,2,k4,0.06728513821764819,0.13040781836766666
80_60,10,2,k5,-0.0002655687681702875,0.0018293806215719892
80_60,10,2,KS,0.5334551585444173,0.6457566303613855
80_60,10,2,KP,0.00934085788736019,0.02807349644329379
80_60,10,2,KN,0.019152735326126453,0.04870348319362196
80_60,10,2,k-4,0.0035084303397025325,0.007287780052217562
80_60,10,3,k2,0.031331533102438275,0.16256405795582593
80_60,10,3,k3,0.011096068675396137,0.13914932556382265
80_60,10,3,k4,0.11778699542422676,0.36252268861476844
80_60,10,3,k5,-0.004670104399537158,0.003845245986689061
80_60,10,3,KS,0.13108826246861682,0.5409596762626018
80_60,10,3,KP,0.08155714710172907,0.29730560844905235
80_60,10,3,KN,0.024264959146063185,0.12859081744142714
80_60,10,3,k-4,0.014761031599289673,0.06281135865198154
80_60,11,0,k2,0.17096155114134973,0.26874891071282697
80_60,11,0,k3,0.0013226333726857852,0.024507415621084
80_60,11,0,k4,0.0010399090043091924,0.03196516081215229
80_60,11,0,k5,-0.0018097146495991015,0.0011615905359638134
80_60,11,0,KS,0.5098946615866087,0.6610403910973977
80_60,11,0,KP,0.06472401403405945,0.19200481054058632
80_60,11,0,KN,-0.0010856134745035665,0.022809013073516963
80_60,11,0,k-4,0.014615353907176646,0.04484314639586538
80_60,11,1,k2,0.18518203189179233,0.28895509108934103
80_60,11,1,k3,0.021936384648926405,0.05231187211672267
80_60,11,1,k4,0.07220191847995604,0.13548670778661612
80_60,11,1,k5,-0.00034713776050094257,0.0019428264170297522
80_60,11,1,KS,0.5158002025587607,0.6252835248698059
80_60,11,1,KP,0.011401291969132091,0.030508061782125884
80_60,11,1,KN,0.021418309532740393,0.05168306244956321
80_60,11,1,k-4,0.004096998644268595,0.008266975693784236
80_60,11,2,k2,0.1851820318917923,0.288955091089341
80_60,11,2,k3,0.021936384648926416,0.052311872116722676
80_60,11,2,k4,0.07220191847995604,0.13548670778661612
80_60,11,2,k5,-0.000347137760500937,0.0019428264170297527
80_60,11,2,KS,0.5158002025587607,0.625283524869806
80_60,11,2,KP,0.011401291969132112,0.030508061782125884
80_60,11,2,KN,0.021418309532740414,0.0516830624495632
80_60,11,2,k-4,0.004096998644268596,0.008266975693784234
80_60,11,3,k2,0.02574426707093052,0.15783562191968922
80_60,11,3,k3,0.010282363223331648,0.1430972121017725
80_60,11,3,k4,0.11781817349970264,0.35539902034739723
80_60,11,3,k5,-0.00497326860363617,0.003960522077145293
80_60,11,3,KS,0.10251308486533836,0.5269078672446026
80_60,11,3,KP,0.08766027088553166,0.32078924491330746
80_60,11,3,KN,0.02387089642531798,0.12972261371166074
80_60,11,3,k-4,0.016083864257981764,0.0712242868016117
80_60,12,0,k2,0.16900476349611643,0.2683447952657576
80_60,12,0,k3,0.0013921577356113522,0.029116407366257268
80_60,12,0,k4,0.0013377193044369848,0.03736020742760717
80_60,12,0,k5,-0.0019710189173083982,0.0013354615530251628
80_60,12,0,KS,0.47339423242417816,0.6380626791160913
80_60,12,0,KP,0.07507844659742868,0.2168868780922465
80_60,12,0,KN,-0.0010486909525157025,0.026167386489893012
80_60,12,0,k-4,0.01680177111597942,0.0528513706801336
80_60,12,1,k2,0.19121454381879952,0.29331756525354546
80_60,12,1,k3,0.023572442214052906,0.05466816907297804
80_60,12,1,k4,0.07701772467208846,0.1403642724828969
80_60,12,1,k5,-0.00040439123927636254,0.0020499423608558026
80_60,12,1,KS,0.4990854753984552,0.605741053339176
80_60,12,1,KP,0.013449425845685153,0.03283400459997893
80_60,12,1,KN,0.023713159842813154,0.05464758843499376
80_60,12,1,k-4,0.004680215248466885,0.009265988291779936
80_60,12,2,k2,0.19121454381879954,0.29331756525354546
80_60,12,2,k3,0.023572442214052892,0.05466816907297804
80_60,12,2,k4,0.07701772467208844,0.1403642724828969
80_60,12,2,k5,-0.00040439123927636585,0.002049942360855802
80_60,12,2,KS,0.4990854753984553,0.6057410533391762
80_60,12,2,KP,0.013449425845685169,0.032834004599978935
80_60,12,2,KN,0.023713159842813154,0.05464758843499377
80_60,12,2,k-4,0.00468021524846687,0.009265988291779936
80_60,12,3,k2,0.020595700096227836,0.15293211640945262
80_60,12,3,k3,0.00933403606484191,0.14594698944436094
80_60,12,3,k4,0.11651204075955213,0.34582065730352307
80_60,12,3,k5,-0.005233534722742976,0.004021944175403909
80_60,12,3,KS,0.07845457898331722,0.5173549162451424
80_60,12,3,KP,0.09250599283609356,0.34137239131106467
80_60,12,3,KN,0.023292884064830016,0.12982999373537502
80_60,12,3,k-4,0.01716462546081055,0.07978948894508042
80_60,13,0,k2,0.16541816999052447,0.26641673839856655
80_60,13,0,k3,0.0014167253391991644,0.03385380511774026
80_60,13,0,k4,0.0015836885223217126,0.04264041587899747
80_60,13,0,k5,-0.0021129059922898232,0.001503605832599146
80_60,13,0,KS,0.4369276088310066,0.6166446486724985
80_60,13,0,KP,0.08524830133511006,0.24179198655064355
80_60,13,0,KN,-0.0009924969684021918,0.029547743952449745
80_60,13,0,k-4,0.018936620464917155,0.06146378189075876
80_60,13,1,k2,0.19667374424773787,0.2972120480508892
80_60,13,1,k3,0.025269048174984148,0.05694026717969465
80_60,13,1,k4,0.08169702014125224,0.14506031982608122
80_60,13,1,k5,-0.000445336378114354,0.002156262673547807
80_60,13,1,KS,0.48320531735268973,0.587053594925964
80_60,13,1,KP,0.015469771575113212,0.035037302480686636
80_60,13,1,KN,0.026022138220689207,0.05756754464189938
80_60,13,1,k-4,0.005262157117144286,0.010275130916045089
80_60,13,2,k2,0.19667374424773784,0.2972120480508892
80_60,13,2,k3,0.025269048174984144,0.056940267179694665
80_60,13,2,k4,0.08169702014125224,0.14506031982608125
80_60,13,2,k5,-0.0004453363781143445,0.002156262673547806
80_60,13,2,KS,0.48320531735268984,0.5870535949259641
80_60,13,2,KP,0.01546977157511322,0.035037302480686636
80_60,13,2,KN,0.026022138220689217,0.057567544641899386
80_60,13,2,k-4,0.005262157117144279,0.01027513091604509
80_60,13,3,k2,0.015973652807791706,0.14806999349801309
80_60,13,3,k3,0.008252340171148865,0.14734663779752807
80_60,13,3,k4,0.11422868273227184,0.33429892234339376
80_60,13,3,k5,-0.005454461055470506,0.004019517196553463
80_60,13,3,KS,0.05850849954170076,0.5110994272702274
80_60,13,3,KP,0.09621914152146414,0.3591315194304808
80_60,13,3,KN,0.022606506849057652,0.12910991910115052
80_60,13,3,k-4,0.01802548812520344,0.08840508670088947
80_60,14,0,k2,0.16040336591984847,0.2631910517900028
80_60,14,0,k3,0.0013940082037856292,0.03846161328122668
80_60,14,0,k4,0.0017699009860462993,0.04756969092661878
80_60,14,0,k5,-0.0022314838992254613,0.0016541117308520226
80_60,14,0,KS,0.40104141308677554,0.5969375047770317
80_60,14,0,KP,0.09507853396837167,0.2663757546813635
80_60,14,0,KN,-0.0009329658837064748,0.03286593357666873
80_60,14,0,k-4,0.020985184660670186,0.07059523207929436
80_60,14,1,k2,0.20160068841403922,0.30073444907060237
80_60,14,1,k3,0.027028825462580633,0.05914692410072256
80_60,14,1,k4,0.08622886122809216,0.1495914462265977
80_60,14,1,k5,-0.0004753983913912575,0.002263699821123004
80_60,14,1,KS,0.4681679578409763,0.5693765308518058
80_60,14,1,KP,0.017462407004006364,0.03712389825567909
80_60,14,1,KN,0.02831732416460807,0.060421694614042815
80_60,14,1,k-4,0.0058457194342717185,0.011291975722279168
80_60,14,2,k2,0.20160068841403925,0.3007344490706024
80_60,14,2,k3,0.027028825462580643,0.059146924100722566
80_60,14,2,k4,0.08622886122809216,0.1495914462265977
80_60,14,2,k5,-0.00047539839139124166,0.002263699821123003
80_60,14,2,KS,0.46816795784097637,0.569376530851806
80_60,14,2,KP,0.017462407004006378,0.03712389825567909
80_60,14,2,KN,0.028317324164608103,0.06042169461404282
80_60,14,2,k-4,0.005845719434271725,0.011291975722279168
80_60,14,3,k2,0.011913544771973468,0.14353286447145003
80_60,14,3,k3,0.007098406000763745,0.1471633672997114
80_60,14,3,k4,0.11130085580428971,0.32137185541241475
80_60,14,3,k5,-0.005635370136623387,0.003953885692440257
80_60,14,3,KS,0.042240693424623894,0.5070108589629995
80_60,14,3,KP,0.0989916041834913,0.3743312869989593
80_60,14,3,KN,0.021871107068534734,0.12773055424814087
80_60,14,3,k-4,0.018696321230269965,0.09700145704747352
80_60,15,0,k2,0.15421356468105563,0.2589393219223651
80_60,15,0,k3,0.0013097023199780222,0.042665053361340036
80_60,15,0,k4,0.0019095341957212912,0.05199403175226624
80_60,15,0,k5,-0.0023346417581096737,0.0017832339846852443
80_60,15,0,KS,0.3662771960467203,0.5789297522017708
80_60,15,0,KP,0.10443210520408992,0.29029413069170895
80_60,15,0,KN,-0.0008791956048677367,0.03604360957386497
