,kcat1,kcat2,Km1,Km2,Tmax,Ken,kAOH
0,9.224559855269197e-06,0.00010011214226485481,0.0027081830396711954,0.009866201747521564,0.00027562307384137004,0.005009630139438204,0.012597363876031841
1,2.4590232064465866e-05,0.00017090503527050766,0.0034236700919114244,0.020214472737717325,0.00037546569629186955,0.008302000873841971,0.004120756079395906
2,7.934761039736689e-05,9.448267787535869e-05,0.0015460301672962308,0.0002708215088566849,0.00015318325792736213,0.0017442648500475646,0.0011148361436595401
3,4.642245596216817e-05,0.00017576603122676442,0.004246708467232161,0.0026638798736415,0.0002836156330064217,0.0073518261555161595,0.012716597699992857
4,6.355229702980475e-05,7.796941580135556e-05,0.007209849640935724,0.0005018355978916152,0.00042581673691248473,0.0005120353024355884,0.004227015114066707
5,8.44852208095538e-05,5.1489926899827014e-05,0.004677838524180281,0.004162901056162919,0.0005386347058104416,0.01699542725367706,0.0019144371188305745
6,2.3252541745996757e-05,7.464860136335037e-05,0.0026708225197080594,0.009102073520761715,0.00023931306075637316,0.005128177276064975,0.008234302443265677
7,4.8899390013822074e-05,0.0003309145488689518,0.0013519524038783308,0.0032054235167855863,0.00024107094326330242,0.00034272374992505556,0.0013831298766815699
8,4.886110492591922e-05,0.00038328131545695127,0.0031875752599199534,0.0017583111739557554,0.00013648090446594064,0.0007127627683474771,0.0009486000866211319
9,5.670742562592337e-05,6.151054778780985e-05,0.005291999567834653,0.01945372414267287,0.00018578987054163095,0.003437401851212884,0.001281275378275292
10,0.00012283440844886959,6.173425263641238e-05,0.018268697176792147,0.004943367557794114,0.00020708455430102387,0.004055500423661695,0.009722929694243139
11,4.120722825196169e-05,0.00018327406131855113,0.0012479149838632148,0.0007805605400341779,0.0003265864445184555,0.011943398240438434,0.010658678824313917
12,6.342962950071693e-05,5.510954557647606e-05,0.008345466275568873,0.000501319021470221,0.00019560827815991218,0.0023339547022166868,0.0018667497456960887
13,4.0918426698556775e-05,0.0003485726723025589,0.0018418360786846754,0.0009949663999719316,0.00026642084474352113,0.004809262430769104,0.0012656089683703382
14,3.4006251888064286e-05,0.00010394923970363599,0.0033949453499560666,0.002281595889483475,0.00022375064928616606,0.0036196540760189203,0.002922987537776212
