,k2,k3,k4,k5,KS,KP,KN,kmenos4
0,0.0001134336487342754,0.0002207684077747939,1.2059515541416754e-06,6.11934212038212e-05,0.2300230783739956,0.03814452691969816,0.011653993930203839,0.0003423692846979751
1,0.0006440683758059565,0.0004979492321581032,0.0005234224722187135,9.946430860126272e-05,0.1534502525505989,0.014986898066765227,0.013372033483161433,0.0020292337998294883
2,0.00143465867167897,5.042864221354948e-05,4.864852311645692e-05,0.00016346569445917287,0.23247051690295525,0.0066404382737909684,0.015401783147438562,0.00021092488398627158
3,0.00025378610250487437,0.0007264179139798452,6.255891247414278e-06,1.3696165757125603e-05,0.26354981617595474,0.011298365705611435,0.012278986322422802,0.004229703881555334
4,0.00024557807888613145,3.790836061584107e-05,4.241770759689269e-05,4.4242011488441526e-05,0.028051507919505007,0.027670703823941243,0.004633253037246546,0.0011336275978495168
5,7.86331177394114e-05,0.0003225152381055817,5.602079157883875e-06,3.0066174572661417e-05,0.020200666275050863,0.004360984151282546,0.030424057836933277,0.0023586072181864337
6,0.0010948967249719294,0.00037924964391807567,0.0002561902261854604,5.238273833269641e-05,0.4820708315547363,0.028185349483621853,0.012406033906617082,9.777950553920207e-05
7,7.883654922644238e-05,0.0003231245819577031,0.00035813770628665136,5.798419677618316e-05,0.024895417879081123,0.11758806437518103,0.02673146822832358,0.00024961216004863333
8,0.00044948353494702974,0.0004346626763080022,0.0008965631790359883,6.897323422121304e-06,0.07016425159401657,0.052834344174993136,0.032657453514469484,0.000429883002920273
9,0.0003144449304021178,0.0005181895714339999,3.915802886977055e-05,0.00010001228149243356,0.07765609755267823,0.06804516660091287,0.0011325398437493958,4.196161170984512e-06
10,0.00023528155289712232,0.00016225870401667886,0.00016939193603591766,3.770790212320422e-05,0.06990189343011836,0.07039345757983145,0.02501505407281217,0.00047520217238051436
11,0.0004480024588344846,0.00011610825923828301,0.00010228036273276897,9.969784234083329e-05,0.09703240224110019,0.10459204550966596,0.00617605222737461,0.0002893454338920913
12,7.385582937316173e-05,0.0001691441338144801,8.326454823041306e-05,6.587345136220322e-07,0.012210187739686363,0.01987677172800323,0.004284748801984745,0.00026973099543438133
13,0.0004407238660732597,3.585449816649467e-05,4.594248688196609e-05,2.2501964824203275e-05,0.06876992898328067,0.005333283200155005,0.020130403039455517,0.0002043334766319252
14,2.9437472781892235e-05,0.00014631489598660135,2.52065544831196e-05,7.232428957788927e-06,0.02859131376428545,0.001724724802671348,0.006433136835436949,0.00010743764075186534
