parameter,S1,ST
Ken,0.06123597803898187,0.12638298611412485
Km1,0.06455258462873338,0.13726611848226067
Km2,0.045638172096497474,0.3129945440629433
Tmax,0.13821956982997782,0.24443734591786145
kAB,0.011666441561232938,0.06161151991985992
kAN,0.006780110415644898,0.053298311239158666
kAOH,0.035353150177678,0.11802635837469742
kNH,0.0028966875868781747,0.0193098689900591
kcat1,0.352935317334111,0.4830558478187952
kcat2,0.03942115053875774,0.1707436221895264
