,k2,k3,k4,KS,KP,KN,kmenos4
0,1.66977020227355e-05,0.0010649661517615886,2.109164552443484e-06,0.03363832320202356,0.01856810222812409,0.04524590519534599,0.00076793487641923
1,0.00010369292799694284,0.0003854564902186738,0.00031076064660859234,0.04954118444838158,0.008342177108699103,0.02006204212771672,0.0014735811006836442
2,0.00028850908577361596,0.0005446698985053355,0.0001990268081857998,0.04922478181690908,0.03630864003844004,0.005452634126666973,0.0008092882545690809
3,0.00019829009355672926,0.0002094154085112904,4.3123304598059944e-05,0.15766385779922923,0.004524054677261885,0.030940607833989116,0.003091825691261375
4,0.0005883645749675155,0.0005674562330028647,1.049949036434352e-05,0.1627302220779992,0.05375482318517134,0.0020156487980903534,0.00016766251461291598
5,0.0002209265636004957,0.0007388068474500487,6.175561260352937e-06,0.06155065488094836,0.007738198254238752,0.008517329676923695,0.0017543876322048165
6,0.000641013708763486,0.00038007712900904296,0.00018045257307813546,0.22376453390195228,0.07855327102369077,0.007998001854481107,0.00018233415288234118
7,2.6821906301899227e-05,0.000601391263911697,0.0001382157416983568,0.015349782204891504,0.06115224762010261,0.0031632430955339046,0.00047538431598818974
8,0.003278345077678448,0.00031588601829795704,0.0011043747200476805,0.4501653970854983,0.03079834478299458,0.025083271696763488,0.002850236502076423
9,0.0008868894547480007,0.0008211405394127564,0.0013005324468635786,0.2148298621385943,0.00785175051027205,0.01142219103674522,8.405252566930327e-06
10,2.837681598795118e-05,7.974429518784972e-05,0.00011046589568820246,0.0066336817927429,0.03377884605309095,0.026230874879524392,7.408766831106561e-05
11,0.001484092486860674,0.0002354517733744441,0.00022760198966050607,0.3517705788214891,0.05961343301203333,0.016469191646763096,0.00016050030723560246
12,0.0005399857734913891,0.0007048585019148429,0.00021923273016081083,0.11776229744003408,0.11117430855929626,0.004340694217841287,0.001155607360596681
13,0.003499025324793926,0.000157079925983196,1.576336987126881e-05,0.4116568897820615,0.02560044468368703,0.0006067945482714478,0.0013486599718359404
14,4.467773527712556e-05,0.00016809011448310233,4.153978696887095e-06,0.05545308218567246,0.0317300561076877,0.025936838795890576,0.0004914636233692566
