,kcat1,kcat2,Km1,Km2,Tmax,Ken,kAOH
0,4.9490861564699414e-06,2.0750486650838384e-05,2.609261958236286e-05,0.0005517023112652297,0.000276577918344802,0.004594848431743827,0.004360777252690508
1,1.725994982346798e-05,0.00021889766539386882,0.003545764371984046,0.010461094398025828,0.0002581136452089389,0.005459699179616634,9.14608600533762e-05
2,6.977667960409203e-05,0.00010181944706680596,0.0032547638621430452,0.00027432075105378756,0.00020833466112116355,0.0029865976653453896,0.0020165091464051277
3,4.135823520933957e-05,2.5082292794890135e-05,0.008686031289173984,9.62378971132786e-05,0.00023089574060076553,0.0016920760562087298,0.00010572740868874346
4,6.691367107349234e-05,0.00014060773247803873,0.00483163475910663,0.0007742270063419766,0.00027901923887622764,0.001764462747526732,0.004034639480429857
5,6.353567083185738e-05,9.753517131241203e-05,0.004226357410231439,0.0017371461628523973,0.0001442504495353808,0.00018318839325188357,0.0022216821603526435
6,1.933776020171604e-05,3.2111739178175284e-05,0.0008905460358726738,0.008816458188006937,0.0002703815439554339,0.004170289830845568,0.003751731740428137
7,3.0376658774505197e-05,0.0001103012305694024,0.0023980629606823126,0.0022887637925349128,0.0001309236601038037,0.003113091279637224,0.0007578795299305162
8,3.111226380097384e-05,7.358522198067655e-05,0.0003824769152590817,0.00027388175270844474,0.00024620401685933877,0.008794253245436756,0.0009135981809847893
9,3.4988228121221855e-05,3.339297140060946e-05,0.0019304141494599183,0.00028009784366401564,0.00013256569018542757,0.0004865605307829501,0.007707353357056251
10,3.097273459941747e-05,9.537796387979395e-05,0.006074257863207267,0.005718070383780814,0.0003655111161741546,0.004405119881669124,0.009266082622984026
11,2.8993916177050422e-05,6.158485591467816e-05,0.00026589404100016656,0.002897973394026892,0.00013817537885441362,0.005323843343712172,0.0005950017241230951
12,1.3769579413801489e-05,0.00012637198242103313,0.000429152228226871,0.00046524937695672174,0.0003981804549534268,0.0014142966754010144,0.0033477251502156396
13,0.00011019304412990612,5.811343846811556e-05,0.009998189991559053,0.00020627861406362992,0.00018628408424335732,0.007000535347616879,0.002130547469362546
14,4.297747479006083e-05,8.227636320243325e-05,0.005837957245431805,0.0028482083380321982,0.0001891051144097873,0.0023615824491322584,0.0038477020074027214
