,kcat1,kcat2,Km1,Km2,Tmax,Ken,kAB,kAN,kAOH,kNH
0,2.064988570916282e-05,1.4171682425401265e-05,0.0016536097752456018,0.010747790642881226,9.031390778887753e-05,0.00834924728516034,0.00019576113373653796,0.004087562238887592,0.00021692427578664416,0.01850578722412843
1,2.4633237168854142e-05,6.22920799250175e-05,0.002838853814187923,0.0024132295060904393,0.00012018780619542801,0.00025711248347617255,0.002983249000519848,0.0011669089721262516,0.0028833737514895007,0.0013625590345028046
2,9.098099326033608e-05,0.0001632769383501167,0.0030961871743739066,0.0010529030269603682,0.0001600798212259857,0.002113906975771263,0.003413150216821142,0.0003670119441684854,0.010594831060365918,0.0010868129415408654
3,4.93342652499232e-05,0.00021884009001136087,0.0027808929047041025,0.00026329560927971666,0.00017720353755595737,0.0006516696483673,0.00011400232346109016,0.0005320224080063201,0.010625747697998442,0.013668434838217742
4,4.1818783453696475e-05,0.0001831875446961451,0.0033566519078612462,0.0007858257424583236,0.00029861156128499846,0.0006069392716977079,0.002903344363070227,0.001251235650006423,0.005164362883749154,0.016916972777657895
5,5.556156567249333e-05,0.00012194795236368775,0.0027832227195166534,0.001778631131179948,0.0002588146360814049,0.0024425579332222553,0.0008078936024190918,0.004980224241788717,0.0035270536268692176,0.010190159167929858
6,4.56765728645061e-05,3.554566174514875e-06,0.0006091555716880703,0.004794366589316465,0.00017980328204043238,0.012505808133202293,0.0015886674659797183,0.0007394589449620121,0.00011821789621044133,0.01996926658544246
7,3.255304850044797e-05,7.670974648096358e-05,0.0022209846537550137,0.0026585130360936415,0.00010741305891891246,0.004606654255739964,0.00035836858612099513,0.0002855695674394242,0.004755595692898985,0.0019648632042659517
8,6.481127651739903e-05,7.050009819660511e-05,0.0026360147931879414,0.0005684443739017663,0.0004114814815069895,0.01200404369227938,0.002923978402038632,0.000678878889493953,0.0014467573965503003,0.055424071645654806
9,6.04851942220432e-05,8.135397208485325e-06,0.000894607963587797,0.010557210486257063,7.393764610002696e-05,0.001443147344939512,0.0009922744682353485,0.0032465410718252384,0.00010312556688190264,0.001545002477831024
10,8.104321935263991e-05,7.536166624149196e-05,0.003411995646302983,0.0009044956024322591,0.0001606695303892554,0.004579116196507938,0.0003430999964595822,0.0034716725125677533,0.0014209821692155033,0.002475533318579229
11,3.7621003424261916e-05,0.0001668371806345486,0.0012271962044580796,0.004652272997291957,0.00023218218147145336,0.011485340461095327,0.0020907342627309792,0.001464185006336255,0.0023024478731522966,0.004648517994133547
12,6.0188390309344436e-05,2.0613097889476944e-05,0.007916140222225556,4.964189315142065e-05,0.00014664570000831584,0.0017542624891203947,0.00038813406334057334,0.0026667203347661506,0.0036289997023447565,0.0018215927303902766
13,9.682334764503105e-05,2.5656750790916396e-05,0.00402236478039876,5.59852299163037e-05,7.641624237731643e-05,0.0006997535062728646,0.0005536477122867704,0.00033542797811506877,0.0029491423847027055,0.006932934498627638
14,2.2009340155164017e-05,0.00024403376182913523,0.001127615524396718,0.001987520255989037,0.0001635575663659432,0.007423621547556626,0.00036968201869380906,0.004537418794522561,0.002701697718376104,0.054817988966305506
