parameter,S1,ST
KN,0.08092312529882818,0.266418627262812
KP,0.053561586534773366,0.2781810768717012
KS,0.1328760196344836,0.4026200330624553
k2,0.09113159264463391,0.2602984312263473
k3,0.06069418472666957,0.1891823980537185
k4,0.07733457784695241,0.16382926451827107
k5,0.0005020129660586653,0.018581874399407127
kmenos4,0.017696464708160296,0.15287329121984525
