,kcat1,kcat2,Km1,Km2,Tmax,Ken,kAB,kAN,kAOH,kNH
0,3.2136317400405724e-06,1.3171339626465096e-05,1.0776712856759268e-06,0.0003491929861060899,6.520894127845963e-05,2.8289583266143405e-05,9.34610862169775e-06,0.004575528683236549,3.539402290401866e-05,0.01600095342839614
1,3.254335854254521e-05,5.998847944639498e-08,9.684582348016962e-06,0.000425383642010718,0.00011459938322192922,0.007192369820924638,0.0013258964102615168,3.554311228211725e-05,1.8207902987763541e-06,0.0003208866000057203
2,3.732022448469014e-05,0.0002848080327811658,0.0011619126601571448,0.0001162357770174402,8.474068165376005e-05,0.001471482839834503,0.00047846892240549575,0.0025652633512997488,0.003889902509761374,7.137374264463559e-05
3,6.263300914448208e-05,0.00017637564517357604,0.0002877278253343309,0.0002520264926449951,0.00020184134855178793,0.0004736359704033898,0.0002185727858835051,5.788953063585424e-05,0.005356911605433213,0.008078163313931998
4,0.00014434405431707766,0.00011060762183675698,0.00220534221197581,3.579276910594895e-05,0.00022570230054078924,0.00010765699713671666,0.0002523128112751712,0.00043227637005749994,0.0004855884336526525,0.0034738403232698737
5,6.45520739422599e-05,4.838889805138344e-05,0.00019233120727491328,0.00021285259010601435,0.00017605202358662286,3.1123270089358525e-05,0.0025805198233409695,3.321374448882486e-05,0.0003380363088942792,0.02698493870384085
6,1.0007273731931474e-05,4.5584215381431924e-05,2.9046754671658853e-05,0.00020709475795330703,9.259672586875694e-05,0.0001933720431137546,1.3045271042831372e-05,0.0006913062207577495,0.00018238386805057545,5.7083057045763914e-05
7,2.8494506038091342e-05,1.2998008800819221e-06,0.0027299005531744194,0.0013401384191590086,7.744773986024427e-05,7.224958945081196e-05,5.478825547853908e-06,0.0009614561230597509,0.005797816549709766,0.0005276857391084296
8,1.644045426651728e-05,6.0609760866308274e-05,0.00020198727136756632,2.434460679481401e-05,3.663510354113813e-05,6.497417447751443e-06,0.0002431557786805294,0.003136227142733889,0.004032481450459344,0.012764595770909926
9,4.33408114453301e-05,2.8097919098164227e-05,0.0012688770249799273,6.450093486373206e-05,6.862337993555927e-05,0.00019987149093803072,0.0011344309233158717,0.004053679921875074,0.00020819161856328638,0.026295967484478395
10,5.454475345178958e-05,6.0894853486722286e-05,0.003186029957683126,0.00013711846492797352,0.00011128246992205015,5.670439290000751e-05,8.463674743392402e-05,0.0005128336536293721,0.0017656158788672304,0.00015160938700222668
11,2.025795055495525e-05,0.00017960368607528943,0.000120773234596777,6.899450779916816e-05,9.677938092184485e-05,0.0030524855282918497,0.00010273975915052053,0.00035427052338485115,0.0020706243051134034,0.04563343014023643
12,3.068229528074079e-05,0.0001978732332636109,0.0008502338205339724,0.0002260399535002321,0.00014742619282621385,0.0005564051745462293,0.0002987243407429335,0.00016526408902464373,0.005346232046331187,0.0007921994888334809
13,5.1741712713152626e-05,3.0358038180684742e-05,0.0010071434630832946,7.807903959408041e-05,6.655278729740439e-05,0.0009544378555497783,0.0009857013153771012,0.00017951664363962373,0.0023920531173462554,0.032508257352492825
14,2.3454983495848884e-05,2.458973148202561e-05,0.0018802200203288726,0.0004549963152136886,0.0002170292880385492,0.0003724258427002783,0.001667974024835204,0.003332294939231371,0.010709790761087698,0.033633458101835455
