,kcat1,kcat2,Km1,Km2,Tmax,Ken,kAB,kAN,kAOH,kNH
0,2.3442556163523247e-06,6.233255474514857e-05,9.35407679057873e-08,0.00018142622825053918,7.313910641966211e-05,0.00012135001528192706,6.990307278019554e-07,1.5076388666693931e-06,3.420031482016363e-06,0.00030389134421688783
1,3.011112407044879e-05,5.156698382590272e-05,8.550210174956151e-07,4.837779442801971e-07,0.00039458588448349743,5.023004915682031e-07,3.66907804533672e-06,2.6717198156435233e-06,2.0685484051509316e-07,0.022873615512150544
2,4.950087730801621e-05,4.55667698196979e-05,9.7547445710311e-07,6.698314145754022e-08,0.0001514450698288284,3.1415584550972664e-06,7.6739113512101e-06,3.6063890572840113e-06,2.19379850356574e-06,0.00011586554140328714
3,1.134550554651504e-05,0.00010137831175526215,5.2479007922812854e-05,1.0124028530054172e-05,0.00014979863060352258,5.085758478307803e-08,2.1484672965149826e-05,0.001896692715156813,0.000118687273883017,0.00011826211721937757
4,8.506269403620785e-05,8.875734881481083e-06,0.0033678686993008525,2.149588335908355e-06,9.054058371950712e-05,1.127191229772854e-07,0.00019290744097185005,0.004209777533832287,0.0014884105660448632,0.010846233501377821
5,4.166411712994062e-05,2.9893779780132107e-05,2.672519592054748e-07,2.375802236605754e-06,0.00011380228582673487,2.832004759231507e-07,0.001711364059720113,3.658808470314172e-08,6.380033288197203e-05,1.1600410042402043e-05
6,2.4160750731233227e-05,3.242502014972549e-07,3.4931586462971985e-07,4.20109263950165e-08,5.349997424438124e-05,1.1466395647801877e-07,1.9132032055171897e-08,0.00010989451824152726,5.476898348970679e-08,1.1900343598924405e-05
7,1.3435049423935687e-05,1.199386026222224e-08,1.5775107417973658e-07,1.4491128082658562e-06,4.4180625321256615e-05,0.00017325019801945726,0.000504884732657835,3.698944558737424e-07,1.0810324548571066e-06,0.0006045482505583946
8,1.1297631460840321e-05,0.00019691312629066996,8.005569473852322e-08,8.498415575170834e-08,2.877816889379223e-05,1.9444183595618957e-09,3.277544678314973e-07,0.00024702697094787393,1.6269567502137385e-05,2.1415876573170103e-05
9,4.221771065285582e-05,3.675157067857459e-08,6.391914036230282e-06,2.1104423094660852e-05,1.6290361703480303e-05,5.113867714793911e-08,7.020674367627462e-09,0.0009603437228771957,1.8770055351990007e-06,0.01919651846193769
10,4.37374323537773e-05,5.217094045025778e-09,4.0136422619484205e-05,2.772465113746767e-07,4.3751748227899643e-05,4.280988578083966e-09,1.5603688762318284e-05,2.442013163133114e-06,0.00010366602263867587,2.714696783066739e-07
11,1.7205687735816913e-05,1.8684608025449928e-07,1.4548837322266253e-06,3.424763201834753e-05,0.00014747546094371835,0.007758310450670836,4.212338548781625e-08,7.547465018053495e-07,0.00011154421308549238,0.000266837362058894
12,6.060329143303138e-05,9.16810737718503e-05,1.0261996994761187e-08,2.5917611205347646e-08,0.00010300633344997421,2.0360396138424528e-05,6.888213050918074e-08,6.989895616568501e-10,4.924667170690967e-07,0.0038973079319459185
13,3.391870728946938e-05,0.0001882722059828108,7.790393194357463e-06,3.1800950881563337e-06,7.573230027872273e-05,3.216177042649542e-05,0.0004203578460842427,4.3511894651764373e-07,0.00015554490689261396,4.904183355035514e-07
14,3.8769978596218593e-05,1.530487516583656e-05,0.0005116463420690717,1.7323158219855483e-06,0.00015455699265529358,1.1226739298585473e-06,0.000444027998046592,0.0006940844699271684,0.000132498088748166,0.0003557232462695149
